listing_ID,bathrooms,bedrooms,lat,lng,capacity
HOM121.9528592.8608246,2,3,28.4247641,-81.4441063,8
HOM121.9529797.8609453,4,3,28.4298504,-81.4510088,6
HOM121.9530295.8609951,,,,,
HOM121.9530310.8609966,2,3,28.4247641,-81.4441063,8
HOM121.9531601.8611257,2,3,28.4247641,-81.4441063,8
HOM121.9531602.8611258,2,3,28.4247641,-81.4441063,6
HOM121.9531757.8611414,2,3,28.4247641,-81.4441063,8
HOM121.9533099.8612763,2,3,28.4247641,-81.4441063,8
HOM121.9533100.8612764,2,3,28.4247641,-81.4441063,6
HOM121.9535023.8614692,2,3,28.5117641,-81.362692,7
HOM121.9535139.8614808,2,3,28.4247641,-81.4441063,8
HOM121.9537868.8617549,2,3,28.4247641,-81.4441063,6
HOM121.9537869.8617550,2,3,28.4247641,-81.4441063,8
HOM121.9537870.8617551,2,3,28.4247641,-81.4441063,6
HOM121.9543466.8623159,1,2,28.466316,-81.466705,7
HOM121.9543574.8623267,2,3,28.4247641,-81.4441063,6
HOM121.9544257.8623950,2,3,28.43146907,-81.44948798,10
HOM121.9544729.8624422,2,3,28.4247641,-81.4441063,8
HOM121.9545109.8624803,,,,,
HOM121.9548106.8627800,2,3,28.4247641,-81.4441063,8
HOM121.9551284.8630981,2,3,28.4247641,-81.4441063,8
HOM121.9552780.8632479,2,3,28.4255544,-81.4457093,6
HOM121.9553872.8633573,2,3,28.4247641,-81.4441063,8
HOM121.9554245.8633946,2,3,28.4247641,-81.4441063,8
HOM121.9554391.8634098,2,3,28.4247641,-81.4441063,6
HOM121.9562952.8642677,2,2,28.46413,-81.45178,6
HOM121.9564963.8644690,2,3,28.4294588,-81.4509015,8
HOM121.9566869.8646596,2,4,28.4293176,-81.4501291,10
HOM121.9567595.8647322,2,3,28.4247641,-81.4441063,8
HOM121.9569061.8648791,,,,,
HOM121.9569579.8649309,2,3,28.4260025,-81.446353,6
HOM121.9570570.8650300,2,3,28.4247641,-81.4441063,6
HOM121.9570571.8650301,2,3,28.4247641,-81.4441063,6
HOM121.9571711.8651441,2,3,28.4247641,-81.4441063,8
HOM121.9572579.8652309,3,3,28.4303541,-81.4512464,8
HOM321.987164.1535120,,,,,
HOM321.987967.1535923,2,3,28.428361,-81.44593,8
HOM321.988514.1536470,2,3,28.428128,-81.446942,8
